good | bad
error | error
merlin | morgana
merlin, percival | morgana
merlin, percival, townie | morgana
merlin, percival, townie | morgana, mordred
merlin, percival, guinevere, good lancelot | morgana, bad lancelot
merlin, percival, guinevere, good lancelot | morgana, bad lancelot, mordred
merlin, percival, guinevere, good lancelot, townie | morgana, bad lancelot, mordred
merlin, percival, guinevere, good lancelot, townie | morgana, bad lancelot, mordred, oberon
merlin, percival, guinevere, good lancelot, townie, townie | morgana, bad lancelot, mordred, oberon
merlin, percival, guinevere, good lancelot, townie, townie | morgana, bad lancelot, mordred, oberon, bad lancelot
merlin, percival, guinevere, good lancelot, townie, townie, townie | morgana, bad lancelot, mordred, oberon, bad lancelot
